,,,,,,,,,,,,,,,,,,,,,,,,,
MR Application,,,,,,,,,,,,,,,,,,,,,,,,,
Participant,I found the application easy to use.,The devices representation was realistic.,The application was helpful in creating and testing automations.,I found it easy to envision the effects of what I added/changed.,I was able to create the devices and automations in a fast and convenient time.,I found it easy to create the devices and automations with the application.,I could imagine using a similar system for Smart Home planing in the future.,The interaction with virtual devices was realistic and easy.,The MR application improved the understanding of the placement and functionality of devices.,The MR application has facilitated the planning and visualisation of smart home scenarios.,What aspects of the application did you find most enjoyable or engaging?,Where there any challenges or difficulties while using the application?,Where there any advantages or disadvantages of the MR app compared to the desktop application?,Are there any specific features or functionalities that you would like to see added?,Is there anything else you would like to share about your experience using the mixed reality application?,,,,,,,,,,
11,5,4,4,5,4,4,5,4,4,4,easy to control the system,nowhere,to see the things real in the room ,no,no,,,,,,,,,,
12,3,3,4,4,2,4,1,2,3,4,testing the automatisations,placing the objects as wished is difficult,none,idk,no,,,,,,,,,,
13,5,2,5,5,5,5,5,4,5,5,I found it most enjoyable that the application showed the whole process of placing the items in the room to initialize automations. It was very easy to understand how that system works.,no. it was good.,super visualisiert was wie womit verknüpft ist.,mehr items. ,"top sache! Ich bin voll überzeugt, dass das durch die Decke gehen wird. Das ist richtig nachhaltig und kann für viele Menschen Fehlentscheidungen vorbeugen.",,,,,,,,,,
14,5,4,5,5,4,4,5,4,5,5,"The visualization (especially of the lights), the quick and direct way of creating new Automations ",There was a bug when setting colours for multiple lights,"In MR, it was much easier to imagine how the automations would take effect. Also, the interface was simpler and you did not have to go down to code level to edit colours.",Deleting single action (Then) statements and manipulating the CO2 level freely for testing would be nice,"I found it very enjoyable to use and liked the visualization of the smart home appliances and effects. Maybe for a more complex smart home system, it would be nice to ""mark"" all the devices that are part of an automation, so it is immediately visible which devices are part of it",,,,,,,,,,
15,5,5,5,5,5,4,1,4,5,5,"seeing the virtual object affect the real world, eg the virtual lights lighting the real world",accidental pinch gestures while holding the paper,"pro no yaml editing, easier device selection, con outstretched arms and big arm movements to select",after i add an effect you could directly open the device selection and the action selection after,not really,,,,,,,,,,
16,5,5,5,4,5,4,4,4,5,5,,,,,,,,,,,,,,,
17,4,4,4,5,4,3,2,4,5,4,,,,,,,,,,,,,,,
18,3,3,5,5,3,5,1,5,4,3,,,,,,,,,,,,,,,
19,4,5,5,3,4,4,5,4,5,4,,,,,,,,,,,,,,,
20,5,4,4,4,5,5,4,3,4,5,,,,,,,,,,,,,,,
21,5,4,5,5,1,5,1,4,5,5,,,,,,,,,,,,,,,
Average,4.285714286,4.19047619,4.428571429,4.380952381,4.19047619,4.333333333,3.523809524,3.904761905,4.333333333,4.428571429,,,,,,,,,,,,,,,
Median,5,4,5,5,5,4,4,4,4,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Web Application,,,,,,,,,,,,,,,,,,,,,,,,,
Participant,I found the application easy to use.,The devices representation was realistic.,The application was helpful in creating and testing automations.,I found it easy to envision the effects of what I added/changed.,I was able to create the devices and automations in a fast and convenient time.,I found it easy to create the devices and automations with the application.,I could imagine using a similar system for Smart Home planing in the future.,What aspects of the application did you find most enjoyable or engaging?,Where there any challenges or difficulties while using the application?,,,,,,,,,,,,,,,,
1,1,1,2,1,1,1,1,Für einen Anfänger viel zu kompliziert,zu kompliziert,,,,,,,,,,,,,,,,
2,2,3,2,2,3,4,2,nichts,alles,,,,,,,,,,,,,,,,
3,2,3,2,3,2,2,1,room planning was nice,it would have been better to directly see the planning of the automations in the room or test them while creating ,,,,,,,,,,,,,,,,
4,2,2,5,2,4,4,4,to see when things actually happen. i.e. to see the objects in the room or to see the change of states in HA while testing,"the selection menu for objects in the room planner was very confusing and inconsistent. In HA, you need to know what type to use for the automations (input_boolean, vs switch, vs device etc.) you need to know this in advance, you cannot learn it on the fly",,,,,,,,,,,,,,,,
5,4,3,4,5,4,4,3,Man konnte direkt ausprobieren ob die Automationen funktionieren.,"Man musste sich zuerst eine Übersicht verschaffen, dies hat aber sehr schnell geklappt",,,,,,,,,,,,,,,,
6,3,2,4,3,2,2,1,Das 'Programmieren' war ganz nett,Das Programmieren,,,,,,,,,,,,,,,,
7,2,2,1,1,2,1,1,-,Verständlichkeit der Anwendung,,,,,,,,,,,,,,,,
8,3,3,4,4,3,3,5,seine geräte zuhause miteinander zu vereknüpfen,fehlendes technisches know-how,,,,,,,,,,,,,,,,
9,4,2,3,4,2,4,4,the dashboard overview,"you need to know what you you do and when, like adding something as entity vs as input boolean",,,,,,,,,,,,,,,,
10,1,1,2,2,1,2,1,-,entering yaml code. understaning what scripts to add and what they do,,,,,,,,,,,,,,,,
11,2,1,1,1,1,2,1,the placing part. The automation part was bad integrated.,"I was not able to fulfill the task, because the space for the user was too weird to use for me.",,,,,,,,,,,,,,,,
12,1,2,2,2,2,2,2,the varaible position of the things ,"programming, hard to start in the software, tutorial ",,,,,,,,,,,,,,,,
13,2,4,3,2,3,2,1,placing objects,programming the automatisations,,,,,,,,,,,,,,,,
14,2,1,3,3,2,3,4,That it is open source and that you had a visual interface,"The interaction was clunky, there were a lot of options that sounded like they do similar things (therefore hard to distinguish), you could not see what you were doing, the saving did not work as expected",,,,,,,,,,,,,,,,
15,4,4,5,5,4,4,5,virtual testing,yaml editing and i dont know how to copy paste on mac keyboards :),,,,,,,,,,,,,,,,
16,2,2,3,2,3,1,3,,,,,,,,,,,,,,,,,,
17,3,3,2,1,2,2,2,,,,,,,,,,,,,,,,,,
18,1,2,4,3,4,3,4,,,,,,,,,,,,,,,,,,
19,2,4,5,2,2,2,5,,,,,,,,,,,,,,,,,,
20,2,3,3,3,3,1,3,,,,,,,,,,,,,,,,,,
21,1,2,4,5,1,1,1,,,,,,,,,,,,,,,,,,
,2.19047619,2.380952381,3.047619048,2.666666667,2.428571429,2.380952381,2.571428571,,,,,,,,,,,,,,,,,,
,2,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,
